,game_id,title,genre,author,text,link
0,2955066,Incredibox - Sprunki,N/A,wolf_hal,N/A,https://wolf-hal.itch.io/incredibox-sprunki
1,3224595,Little Bartmares,Adventure,David Mills,WHY YOU LITTLE!!!,https://shadowband.itch.io/little-bartmares
2,3216520,The Apartment 57,Adventure,Infinity Entertainment,is a psychological horror game set in an abandoned hotel. Players explore dark hallways and uncover dark secrets.,https://infinity-entertainment.itch.io/the-apartment-57
3,3148668,Pretend it's not There,Adventure,Dreadloom,"Pretend that you can't see the monster, that may be the only way to survive.",https://dreadloom-studios.itch.io/pretend-its-not-there
4,2513640,Ignited Entry,Adventure,JordiBoi,The corpse is alive.,https://jordiboi.itch.io/ignited-entry
5,3170979,Unbothered,Adventure,Yegboi,N/A,https://yegboi.itch.io/unbothered
6,2920892,Delicious Date,Visual Novel,peachieevee,Can you (socially) survive your first date with a really cute and hungry guy?,https://peachieevee.itch.io/delicious-date
7,3264682,FATAL CHOICE,Adventure,kyezdev,"Don't make the wrong choice.. think before choosing! If you make the wrong choice, mistakes will arise later on.",https://kyezdev.itch.io/fatal-choice
8,3255210,Chef's Special,Adventure,Erocol,A short horror game about cooking,https://erocol.itch.io/chefs-special
9,566214,Last Train Home,Adventure,hby,A short game about a guy stuck on a train.,https://hby.itch.io/last-train-home
10,2553372,Fallacy Quiz,Educational,Tim Krief,Sharpen your critical thinking skills in this quiz game that challenges you to spot rhetorical fallacies.,https://timkrief.itch.io/fallacy-quiz
11,2896565,Bad Parenting 1: Mr Red Face,Adventure,2OO2,Short Horror Game,https://2oo2.itch.io/bad-parenting-1
12,2896565,Bad Parenting 1: Mr Red Face,Adventure,2OO2,Short Horror Game,https://2oo2.itch.io/bad-parenting-1
13,228320,Vintage Story,Survival,Tyron,An uncompromising wilderness survival sandbox game inspired by lovecraftian horror themes,https://tyronx.itch.io/vintage-story
14,3245484,Dragonsweeper,Puzzle,Daniel Benmergui,A roguelike minesweeper adventure,https://danielben.itch.io/dragonsweeper
15,3117580,A Date with Death - Beyond the Bet DLC,Visual Novel,Two and a Half Studios,Five more days with your favorite Grim Reaper... a DLC for A Date with Death!,https://twoandahalfstudios.itch.io/beyond-the-bet-dlc
16,469917,Andromeda Six,Visual Novel,Wanderlust Games,A sci-fi themed Visual Novel game.,https://wanderlust-games.itch.io/andromeda-six
17,2343933,Dead Plate,Role Playing,racheldrawsthis,60s French restaurant tycoon themed rpg horror game about a waiter and a chef,https://racheldrawsthis.itch.io/dead-plate
18,1103651,Blooming Panic,Visual Novel,robobarbie,Welcome to our server!,https://robobarbie.itch.io/blooming-panic
19,2273093,GO TO BED,Survival,JoeTheItchPro,Go to bed. You're not forgetting anything right?,https://joetheitchpro.itch.io/go-to-bed
