,game_id,status,rating,rating_count,tags,ave_session_time,platforms
0,2955066,Released,4.6,1178.0,"Cute, Fangame, Horror, Incredibox, minigames, Sprunki",,"HTML5, Windows, macOS, Linux, Android"
1,3224595,Released,4.5,35.0,"3D, Atmospheric, Horror, PSX (PlayStation), Psychological Horror, Retro, Singleplayer, Survival Horror",,"Windows, macOS, Linux"
2,3216520,Released,4.1,92.0,"Creepy, Dark, Horror, Indie, Multiple Endings, Psychological Horror, Retro, Short, Spooky, Unity",,Windows
3,3148668,Released,4.3,280.0,"3D, Atmospheric, First-Person, Horror, PSX (PlayStation), Psychological Horror, Short, Singleplayer, Unity",A few seconds,"Windows, macOS"
4,2513640,Released,4.8,301.0,"Atmospheric, Horror, Low-poly, PSX (PlayStation), Psychological Horror, Singleplayer, Story Rich, Unreal Engine, Voice Acting",About an hour,Windows
5,3170979,Released,4.1,64.0,"Aliens, First-Person, Funny, Horror, storygame",,
6,2920892,Released,4.8,265.0,"Dating Sim, Horror, Monsters, Otome, Romance, yandere",About a half-hour,"Windows, macOS, Linux"
7,3264682,Released,4.7,14.0,"3D, Atmospheric, Creepy, First-Person, Horror, Mystery, Psychological Horror, Short, Survival Horror, Thriller",,Windows
8,3255210,Released,3.9,9.0,"Atmospheric, First-Person, Horror, PSX (PlayStation), Retro, Short",,Windows
9,566214,Released,4.5,2230.0,"2D, Atmospheric, Horror, Pixel Art",,"HTML5, Windows"
10,2553372,Released,4.8,23.0,"Brain Training, Casual, fallacy, Hand-drawn, Indie, Local multiplayer, Quiz, Singleplayer, Text based, Trivia",About a half-hour,"Windows, macOS, Linux"
11,2896565,Released,4.8,1289.0,"Horror, PSX (PlayStation), Retro, Short, Story Rich",About a half-hour,Windows
12,2896565,Released,4.8,1289.0,"Horror, PSX (PlayStation), Retro, Short, Story Rich",About a half-hour,Windows
13,228320,In development,4.8,221.0,"3D, Atmospheric, Exploration, Lovecraftian Horror, Multiplayer, Open World, Pixel Art, Procedural Generation, Sandbox, Voxel",About an hour,"Windows, macOS, Linux"
14,3245484,Released,4.9,479.0,"Minesweeper, Roguelike",,HTML5
