game_id,title,genre,author,text,link,status,rating,rating_count,tags,ave_session_time,platforms
397,F J O R D S,Adventure,KYLE REIMERGARTIN,▲ ▲ ▲ ▲ RUN ERRANDS AND MAKE DECISIONS!!,https://mooonmagic.itch.io/fjords,Released,4.7,100.0,"computer, door, ferry, Magic, Mountains, pizza, science, SHARECART1000, warp, waterfall",,"Windows, macOS"
463,starseed pilgrim,,droqen,a pleasant mystery box. a soft puzzle game.,https://droqen.itch.io/starseedpilgrim,Released,4.3,90.0,"Exploration, Gardening, symphonic",About a half-hour,"Windows, macOS"
660,GUN GODZ,Shooter,Vlambeer,GUN GODZ is a first person shooter about gangster rap on Venus.,https://vlambeer.itch.io/gun-godz,Released,4.5,193.0,"gangster, hiphop, rap, vlambeer, yung-venuz",,"Windows, macOS"
673,Dreaming Sarah,Adventure,Asteristic Game Studio,A surreal adventure platformer.,https://asteristic.itch.io/dreamingsarah,Released,4.3,118.0,"alpha, Creepy, Horror",About a half-hour,Windows
796,Guppy,Simulation,Christiaan Moleman,2D watercolor fish simulation,https://ninjadodo.itch.io/guppy,Released,3.9,96.0,"Animals, Atmospheric, Colorful, Experimental, fish, Procedural Generation, Relaxing, swim, underwater, watercolor",A few minutes,"Windows, macOS, Linux, Android"
803,Catacomb Kids (Alpha!),Platformer,FourbitFriday,A Brutal Roguelike Platformer,https://fourbitfriday.itch.io/catacombkids,In development,4.7,47.0,"Dungeon Crawler, hack-n-slash, Roguelike",A few minutes,"Windows, macOS, Linux"
848,50 Short Games,,thecatamites,Magic 50 Game-in-1,https://thecatamites.itch.io/50-short-games,Released,4.8,66.0,"compilation, marker-games, thecatamites",,Windows
4508,Airships: Conquer the Skies,Strategy,Zarkonnen,Design & fight with steampunk airships,https://zarkonnen.itch.io/airships,Released,4.4,173.0,"airships, Alternate History, Moddable, Pixel Art, Real time strategy, Steampunk",About a half-hour,"Windows, macOS, Linux"
7614,No Brakes Valet,Action,Captain Games,No. Brakes. Valet.,https://captaingames.itch.io/no-brakes-valet,Released,4.6,56.0,"Driving, Multiplayer, parking, saga",A few seconds,Windows
8252,Haunt the House: Terrortown,Action,SFBGames,A side-scrolling action puzzle game starring ghosts!,https://sfbgames.itch.io/haunt-the-house-terrortown,Released,4.7,26.0,"adorable, boo, Cute, ghost, haunt, scare, Spooky, woo",,"Windows, macOS"
8557,In The Kingdom,Shooter,Infrablack Digital Industry,"In the ancient walls of a forgotten kingdom, a most poisonous and evil force reigns over all",https://infrablackdi.itch.io/in-the-kingdom,Released,4.2,78.0,"Abstract, FPS, Horror, Retro, Unity",,"Windows, macOS"
9217,Quest of Dungeons,Role Playing,David Amador,"A turn based roguelike game. An evil Dark Lord has stolen all light, your mission is to enter his lair & defeat him.",https://dj_link.itch.io/quest-of-dungeons,Released,4.1,27.0,"16-bit, 2D, dungeons, permadeath, Pixel Art, Procedural Generation, Roguelike, Top-Down, Turn-based",A few hours,"Windows, macOS, Linux, Android"
9699,Twin Tiger Shark,Shooter,Wide Pixel Games,Shmup!,https://mix256.itch.io/twin-tiger-shark,Released,4.6,25.0,"2-all, Shoot 'Em Up, stg",About a half-hour,"Windows, macOS"
10182,Powerglove,Platformer,RGCD.DEV,Official PC version of the 2014 Commodore 64 hit!,https://rgcddev.itch.io/powerglove,Released,4.4,28.0,"lazycow, Metroidvania, rgcd, run-n-gun, Shoot 'Em Up",,"Windows, macOS, Linux"
10358,Mouse Corp.,Adventure,thecatamites,Mouse Corp.: What are friends for?,https://thecatamites.itch.io/mouse-corp,Released,4.5,61.0,"3D, free, Funny, mouse, thecatamites",,"Windows, macOS, Linux"
12355,Halloween Forever,Platformer,imaginarymonsters,Retro 8-bit spooky Halloween platformer,https://imaginarymonsters.itch.io/halloween-forever,Released,4.4,82.0,"candy, dungeon, ghost, graveyard, Halloween, haunted, Horror, Monsters, Spooky",About a half-hour,Windows
12614,Octopus City Blues,Adventure,Ghost in a Bottle,A surreal adventure about everything and nothing.,https://ghost-in-a-bottle.itch.io/octopus-city-blues,In development,4.9,18.0,"2D, Cyberpunk, Horror, Lovecraftian Horror, Pixel Art, psychedelic, Retro, Story Rich, Surreal",About an hour,"Windows, macOS, Linux"
12792,A.O.O.F.A.D: All Of Our Friends Are Dead,Platformer,Infrablack Digital Industry,The nightmare which things are made of,https://infrablackdi.itch.io/aoofad,Released,4.6,34.0,,,Windows
13314,Dungeon Nightmares II - The Memory,Adventure,K Monkey,The sequel to the cult horror classic hit Dungeon Nightmares,https://kmonkey.itch.io/dungeon-nightmares-ii,Released,3.7,13.0,"Action-Adventure, Dungeon Crawler, Exploration, First-Person, Horror, Perma Death, Procedural Generation, Roguelike, Spooky, Survival Horror",,Windows
